model,variant,scenario,time_period,basin,storms_per_year,period_length,total_storms_per_draw,predicted_minutes_per_draw,optimal_batch_size,expected_batch_runtime_minutes,num_batches,last_batch_draws,last_batch_runtime_minutes,total_storms_in_batch,memory,last_batch_total_storms,last_batch_memory,runtime,last_batch_runtime
EC-Earth3,r1i1p1f1,historical,1965-1974,EP,11.0,10,110.0,36.81818877187453,2,73.63637754374906,125,2,73.63637754374906,220.0,20G,220.0,20G,74m,74m
EC-Earth3,r1i1p1f1,historical,1965-1974,NA,6.0,10,60.0,27.641079664064037,3,82.92323899219211,84,1,27.641079664064037,180.0,20G,60.0,20G,83m,28m
EC-Earth3,r1i1p1f1,historical,1965-1974,NI,4.0,10,40.0,23.97023602093984,4,95.88094408375936,63,2,47.94047204187968,160.0,20G,80.0,20G,96m,48m
EC-Earth3,r1i1p1f1,historical,1965-1974,SI,6.0,10,60.0,27.641079664064037,3,82.92323899219211,84,1,27.641079664064037,180.0,20G,60.0,20G,83m,28m
EC-Earth3,r1i1p1f1,historical,1965-1974,AU,8.0,10,80.0,31.311923307188238,3,93.93576992156471,84,1,31.311923307188238,240.0,20G,80.0,20G,94m,32m
EC-Earth3,r1i1p1f1,historical,1965-1974,SP,2.0,10,20.0,20.299392377815643,5,101.49696188907822,50,5,101.49696188907822,100.0,20G,100.0,20G,102m,102m
EC-Earth3,r1i1p1f1,ssp585,2091-2100,NI,7.0,10,70.0,29.476501485626137,3,88.42950445687842,84,1,29.476501485626137,210.0,20G,70.0,20G,89m,30m
EC-Earth3,r1i1p1f1,ssp585,2091-2100,SI,9.0,10,90.0,33.14734512875034,3,99.442035386251,84,1,33.14734512875034,270.0,20G,90.0,20G,100m,34m
EC-Earth3,r1i1p1f1,ssp585,2091-2100,SP,4.0,10,40.0,23.97023602093984,4,95.88094408375936,63,2,47.94047204187968,160.0,20G,80.0,20G,96m,48m
MRI-ESM2-0,r3i1p1f1,historical,1965-1974,EP,12.0,10,120.0,38.65361059343663,2,77.30722118687326,125,2,77.30722118687326,240.0,20G,240.0,20G,78m,78m
MRI-ESM2-0,r3i1p1f1,historical,1965-1974,NA,6.0,10,60.0,27.641079664064037,3,82.92323899219211,84,1,27.641079664064037,180.0,20G,60.0,20G,83m,28m
MRI-ESM2-0,r3i1p1f1,historical,1965-1974,NI,3.0,10,30.0,22.13481419937774,4,88.53925679751096,63,2,44.26962839875548,120.0,20G,60.0,20G,89m,45m
MRI-ESM2-0,r3i1p1f1,historical,1965-1974,SI,7.0,10,70.0,29.476501485626137,3,88.42950445687842,84,1,29.476501485626137,210.0,20G,70.0,20G,89m,30m
