model,variant,scenario,time_period,basin,storms_per_year,period_length,total_storms_per_draw,predicted_minutes_per_draw,optimal_batch_size,expected_batch_runtime_minutes,num_batches,last_batch_draws,last_batch_runtime_minutes,total_storms_in_batch,memory,last_batch_total_storms,last_batch_memory,runtime,last_batch_runtime
MRI-ESM2-0,r3i1p1f1,historical,1965-1974,SP,3.0,10,30.0,22.13481419937774,4,88.53925679751096,63,2,44.26962839875548,120.0,20G,60.0,20G,89m,45m
MRI-ESM2-0,r2i1p1f1,historical,1965-1974,NA,6.0,10,60.0,27.641079664064037,3,82.92323899219211,84,1,27.641079664064037,180.0,20G,60.0,20G,83m,28m
MRI-ESM2-0,r2i1p1f1,historical,1965-1974,AU,11.0,10,110.0,36.81818877187453,2,73.63637754374906,125,2,73.63637754374906,220.0,20G,220.0,20G,74m,74m
MPI-ESM1-2-HR,r1i1p1f1,historical,1965-1988,SP,3.0,24,72.0,29.843585849938556,3,89.53075754981566,84,1,29.843585849938556,216.0,20G,72.0,20G,90m,30m
MPI-ESM1-2-HR,r1i1p1f1,ssp126,2066-2075,NA,8.0,10,80.0,31.311923307188238,3,93.93576992156471,84,1,31.311923307188238,240.0,20G,80.0,20G,94m,32m
MPI-ESM1-2-HR,r1i1p1f1,ssp126,2066-2075,NI,4.0,10,40.0,23.97023602093984,4,95.88094408375936,63,2,47.94047204187968,160.0,20G,80.0,20G,96m,48m
MPI-ESM1-2-HR,r1i1p1f1,ssp126,2066-2075,SI,8.0,10,80.0,31.311923307188238,3,93.93576992156471,84,1,31.311923307188238,240.0,20G,80.0,20G,94m,32m
MPI-ESM1-2-HR,r1i1p1f1,ssp126,2066-2075,AU,11.0,10,110.0,36.81818877187453,2,73.63637754374906,125,2,73.63637754374906,220.0,20G,220.0,20G,74m,74m
MPI-ESM1-2-HR,r1i1p1f1,ssp126,2066-2075,SP,4.0,10,40.0,23.97023602093984,4,95.88094408375936,63,2,47.94047204187968,160.0,20G,80.0,20G,96m,48m
MPI-ESM1-2-HR,r1i1p1f1,ssp245,2015-2035,SP,3.0,21,63.0,28.19170621053267,3,84.575118631598,84,1,28.19170621053267,189.0,20G,63.0,20G,85m,29m
MPI-ESM1-2-HR,r1i1p1f1,ssp245,2036-2050,NI,4.0,15,60.0,27.641079664064037,3,82.92323899219211,84,1,27.641079664064037,180.0,20G,60.0,20G,83m,28m
MPI-ESM1-2-HR,r1i1p1f1,ssp245,2036-2050,SP,3.0,15,45.0,24.887946931720887,4,99.55178772688355,63,2,49.77589386344177,180.0,20G,90.0,20G,100m,50m
MPI-ESM1-2-HR,r1i1p1f1,ssp245,2081-2100,NI,3.0,20,60.0,27.641079664064037,3,82.92323899219211,84,1,27.641079664064037,180.0,20G,60.0,20G,83m,28m
MPI-ESM1-2-HR,r1i1p1f1,ssp245,2081-2100,SP,3.0,20,60.0,27.641079664064037,3,82.92323899219211,84,1,27.641079664064037,180.0,20G,60.0,20G,83m,28m
CMCC-ESM2,r1i1p1f1,historical,1965-1974,NA,7.0,10,70.0,29.476501485626137,3,88.42950445687842,84,1,29.476501485626137,210.0,20G,70.0,20G,89m,30m
CMCC-ESM2,r1i1p1f1,historical,1965-1974,NI,3.0,10,30.0,22.13481419937774,4,88.53925679751096,63,2,44.26962839875548,120.0,20G,60.0,20G,89m,45m
CMCC-ESM2,r1i1p1f1,historical,1965-1974,SI,6.0,10,60.0,27.641079664064037,3,82.92323899219211,84,1,27.641079664064037,180.0,20G,60.0,20G,83m,28m
CMCC-ESM2,r1i1p1f1,historical,1965-1974,AU,7.0,10,70.0,29.476501485626137,3,88.42950445687842,84,1,29.476501485626137,210.0,20G,70.0,20G,89m,30m
CMCC-ESM2,r1i1p1f1,historical,1965-1974,SP,3.0,10,30.0,22.13481419937774,4,88.53925679751096,63,2,44.26962839875548,120.0,20G,60.0,20G,89m,45m
CMCC-ESM2,r1i1p1f1,historical,1975-1985,NA,8.0,11,88.0,32.78026076443792,3,98.34078229331377,84,1,32.78026076443792,264.0,20G,88.0,20G,99m,33m
CMCC-ESM2,r1i1p1f1,historical,1975-1985,NI,4.0,11,44.0,24.70440474956468,4,98.81761899825872,63,2,49.40880949912936,176.0,20G,88.0,20G,99m,50m
CMCC-ESM2,r1i1p1f1,historical,1975-1985,SI,13.0,11,143.0,42.87508078302946,2,85.75016156605892,125,2,85.75016156605892,286.0,20G,286.0,20G,86m,86m
CMCC-ESM2,r1i1p1f1,historical,1975-1985,AU,14.0,11,154.0,44.89404478674777,2,89.78808957349554,125,2,89.78808957349554,308.0,20G,308.0,20G,90m,90m
CMCC-ESM2,r1i1p1f1,historical,1975-1985,SP,3.0,11,33.0,22.685440745846368,4,90.74176298338547,63,2,45.370881491692735,132.0,20G,66.0,20G,91m,46m
CMCC-ESM2,r1i1p1f1,ssp245,2015-2032,NI,6.0,18,108.0,36.45110440756212,3,109.35331322268635,84,1,36.45110440756212,324.0,20G,108.0,20G,110m,37m
CMCC-ESM2,r1i1p1f1,ssp245,2033-2052,SP,4.0,20,80.0,31.311923307188238,3,93.93576992156471,84,1,31.311923307188238,240.0,20G,80.0,20G,94m,32m
CMCC-ESM2,r1i1p1f1,ssp245,2053-2069,NI,5.0,17,85.0,32.229634217969284,3,96.68890265390786,84,1,32.229634217969284,255.0,20G,85.0,20G,97m,33m
CMCC-ESM2,r1i1p1f1,ssp245,2053-2069,SI,8.0,17,136.0,41.59028550793599,2,83.18057101587198,125,2,83.18057101587198,272.0,20G,272.0,20G,84m,84m
CMCC-ESM2,r1i1p1f1,ssp245,2070-2079,NA,7.0,10,70.0,29.476501485626137,3,88.42950445687842,84,1,29.476501485626137,210.0,20G,70.0,20G,89m,30m
CMCC-ESM2,r1i1p1f1,ssp245,2070-2079,NI,6.0,10,60.0,27.641079664064037,3,82.92323899219211,84,1,27.641079664064037,180.0,20G,60.0,20G,83m,28m
CMCC-ESM2,r1i1p1f1,ssp245,2070-2079,SI,8.0,10,80.0,31.311923307188238,3,93.93576992156471,84,1,31.311923307188238,240.0,20G,80.0,20G,94m,32m
CMCC-ESM2,r1i1p1f1,ssp245,2070-2079,AU,16.0,10,160.0,45.995297879685026,2,91.99059575937005,125,2,91.99059575937005,320.0,20G,320.0,20G,92m,92m
CMCC-ESM2,r1i1p1f1,ssp245,2070-2079,SP,4.0,10,40.0,23.97023602093984,4,95.88094408375936,63,2,47.94047204187968,160.0,20G,80.0,20G,96m,48m
CMCC-ESM2,r1i1p1f1,ssp585,2038-2048,EP,17.0,11,187.0,50.95093679790269,2,101.90187359580538,125,2,101.90187359580538,374.0,20G,374.0,20G,102m,102m
CMCC-ESM2,r1i1p1f1,ssp585,2038-2048,NA,7.0,11,77.0,30.761296760719603,3,92.28389028215881,84,1,30.761296760719603,231.0,20G,77.0,20G,93m,31m
CMCC-ESM2,r1i1p1f1,ssp585,2038-2048,NI,5.0,11,55.0,26.723368753282987,4,106.89347501313195,63,2,53.446737506565974,220.0,20G,110.0,20G,107m,54m
CMCC-ESM2,r1i1p1f1,ssp585,2038-2048,SI,13.0,11,143.0,42.87508078302946,2,85.75016156605892,125,2,85.75016156605892,286.0,20G,286.0,20G,86m,86m
CMCC-ESM2,r1i1p1f1,ssp585,2038-2048,AU,13.0,11,143.0,42.87508078302946,2,85.75016156605892,125,2,85.75016156605892,286.0,20G,286.0,20G,86m,86m
CMCC-ESM2,r1i1p1f1,ssp585,2038-2048,SP,4.0,11,44.0,24.70440474956468,4,98.81761899825872,63,2,49.40880949912936,176.0,20G,88.0,20G,99m,50m
MRI-ESM2-0,r4i1p1f1,historical,1965-1974,NA,6.0,10,60.0,27.641079664064037,3,82.92323899219211,84,1,27.641079664064037,180.0,20G,60.0,20G,83m,28m
MRI-ESM2-0,r4i1p1f1,historical,1965-1974,SI,6.0,10,60.0,27.641079664064037,3,82.92323899219211,84,1,27.641079664064037,180.0,20G,60.0,20G,83m,28m
MRI-ESM2-0,r1i1p1f1,historical,1965-1974,EP,13.0,10,130.0,40.48903241499873,2,80.97806482999746,125,2,80.97806482999746,260.0,20G,260.0,20G,81m,81m
MRI-ESM2-0,r1i1p1f1,historical,1965-1974,SI,6.0,10,60.0,27.641079664064037,3,82.92323899219211,84,1,27.641079664064037,180.0,20G,60.0,20G,83m,28m
MRI-ESM2-0,r1i1p1f1,historical,1965-1974,SP,2.0,10,20.0,20.299392377815643,5,101.49696188907822,50,5,101.49696188907822,100.0,20G,100.0,20G,102m,102m
MRI-ESM2-0,r5i1p1f1,historical,1965-1974,NI,3.0,10,30.0,22.13481419937774,4,88.53925679751096,63,2,44.26962839875548,120.0,20G,60.0,20G,89m,45m
MRI-ESM2-0,r5i1p1f1,historical,1965-1974,SI,7.0,10,70.0,29.476501485626137,3,88.42950445687842,84,1,29.476501485626137,210.0,20G,70.0,20G,89m,30m
MRI-ESM2-0,r5i1p1f1,historical,1965-1974,AU,7.0,10,70.0,29.476501485626137,3,88.42950445687842,84,1,29.476501485626137,210.0,20G,70.0,20G,89m,30m
